SNP	CHR	BP	P	POS	GENEID	NEIGHBORGENE	FUNCTION
Chr1_4643333	1	4643333	1.745698e-02	4643333	AT1G13560	NA	aminoalcoholphosphotransferase 1 (EC aminoalcoholphosphotransferase 1)
Chr5_18606981	5	18606981	2.358224e-02	110777827	AT5G45870	NA	PYR1-like 12 (EC PYR1-like 12)
Chr1_5193758	1	5193758	5.533493e-03	5193758	AT1G15100	NA	RING-H2 finger A2A (EC RING-H2 finger A2A)
Chr2_4809768	2	4809768	1.603547e-02	35237439	AT2G11910	NA	NA
Chr4_10910553	4	10910553	1.843086e-02	84496343	AT4G20200	NA	Terpenoid cyclases/Protein prenyltransferases superfamily protein (EC Terpenoid cyclases/Protein prenyltransferases superfamily protein)
Chr1_2558204	1	2558204	1.543371e-02	2558204	AT1G08140	NA	cation/H+ exchanger 6A (EC cation/H+ exchanger 6A)
Chr3_9293672	3	9293672	2.305877e-02	59419632	AT3G25580	NA	Thioredoxin superfamily protein (EC Thioredoxin superfamily protein)
Chr5_638299	5	638299	4.062488e-03	92809145	AT5G02800	NA	Protein kinase superfamily protein (EC Protein kinase superfamily protein)
Chr3_17774844	3	17774844	2.498875e-02	67900804	AT3G48120	NA	NA
Chr3_5667589	3	5667589	2.096439e-02	55793549	AT3G16630	NA	P-loop containing nucleoside triphosphate hydrolases superfamily protein (EC P-loop containing nucleoside triphosphate hydrolases superfamily protein)
Chr5_21470629	5	21470629	1.927357e-02	113641475	AT5G52930	NA	Protein of unknown function (DUF295) (EC Protein of unknown function (DUF295))
Chr2_19014885	2	19014885	1.627053e-02	49442556	AT2G46320	NA	Mitochondrial substrate carrier family protein (EC Mitochondrial substrate carrier family protein)
Chr4_9456148	4	9456148	2.544772e-02	83041938	AT4G16800	NA	ATP-dependent caseinolytic (Clp) protease/crotonase family protein (EC ATP-dependent caseinolytic (Clp) protease/crotonase family protein)
Chr3_12673427	3	12673427	2.029077e-02	62799387	NA	NA	NA
Chr5_24852877	5	24852877	1.824900e-02	117023723	NA	NA	NA
Chr4_1130976	4	1130976	2.474144e-02	74716766	AT4G02560	NA	Homeodomain-like superfamily protein (EC Homeodomain-like superfamily protein)
Chr1_10167407	1	10167407	2.396612e-02	10167407	NA	NA	NA
Chr1_16334215	1	16334215	1.972129e-02	16334215	NA	NA	NA
Chr1_19402210	1	19402210	1.614381e-02	19402210	AT1G52130	NA	Mannose-binding lectin superfamily protein (EC Mannose-binding lectin superfamily protein)
Chr2_13136799	2	13136799	2.215081e-02	43564470	AT2G30830	NA	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (EC 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein)
Chr4_9377304	4	9377304	2.529901e-02	82963094	AT4G16660	NA	heat shock protein 70 (Hsp 70) family protein (EC heat shock protein 70 (Hsp 70) family protein)
Chr5_3595690	5	3595690	2.129702e-02	95766536	AT5G11250	NA	Disease resistance protein (TIR-NBS-LRR class) (EC Disease resistance protein (TIR-NBS-LRR class))
Chr1_1403925	1	1403925	1.485568e-02	1403925	AT1G04945	NA	HIT-type Zinc finger family protein (EC HIT-type Zinc finger family protein)
Chr5_21523893	5	21523893	2.322745e-02	113694739	AT5G53090	NA	NAD(P)-binding Rossmann-fold superfamily protein (EC NAD(P)-binding Rossmann-fold superfamily protein)
Chr5_7738997	5	7738997	1.636236e-02	99909843	AT5G23050	NA	acyl-activating enzyme 17 (EC acyl-activating enzyme 17)
Chr5_16537901	5	16537901	2.222661e-02	108708747	AT5G41330	NA	BTB/POZ domain with WD40/YVTN repeat-like protein (EC BTB/POZ domain with WD40/YVTN repeat-like protein)
Chr5_9892413	5	9892413	3.468715e-02	102063259	NA	NA	NA
Chr2_11910625	2	11910625	1.952456e-02	42338296	NA	NA	NA
Chr5_9288481	5	9288481	1.956098e-02	101459327	AT5G26742	NA	DEAD box RNA helicase (RH3) (EC DEAD box RNA helicase (RH3))
Chr2_5420413	2	5420413	1.796068e-02	35848084	NA	NA	NA
Chr1_11002112	1	11002112	1.821393e-02	11002112	AT1G30910	NA	Molybdenum cofactor sulfurase family protein (EC Molybdenum cofactor sulfurase family protein)
Chr3_7173131	3	7173131	2.848751e-02	57299091	AT3G20540	NA	polymerase gamma 1 (EC polymerase gamma 1)
Chr5_14209136	5	14209136	1.787377e-02	106379982	AT5G36130	NA	Cytochrome P450 superfamily protein (EC Cytochrome P450 superfamily protein)
Chr5_21748868	5	21748868	2.553362e-02	113919714	AT5G53530	NA	vacuolar protein sorting 26A (EC vacuolar protein sorting 26A)
Chr3_22763999	3	22763999	2.332651e-02	72889959	AT3G61500	NA	NA
Chr5_8784191	5	8784191	1.831625e-01	100955037	AT5G25310	NA	Exostosin family protein (EC Exostosin family protein)
Chr3_9398878	3	9398878	6.217453e-03	59524838	AT3G25740	NA	methionine aminopeptidase 1C (EC methionine aminopeptidase 1C)
Chr5_17378766	5	17378766	2.173194e-02	109549612	AT5G43300	NA	PLC-like phosphodiesterases superfamily protein (EC PLC-like phosphodiesterases superfamily protein)
Chr5_20731739	5	20731739	1.758415e-02	112902585	AT5G50950	NA	FUMARASE 2 (EC FUMARASE 2)
Chr5_20738507	5	20738507	1.758415e-02	112909353	AT5G50970	NA	transducin family protein / WD-40 repeat family protein (EC transducin family protein / WD-40 repeat family protein)
Chr5_20744427	5	20744427	1.758415e-02	112915273	AT5G51000	NA	F-box and associated interaction domains-containing protein (EC F-box and associated interaction domains-containing protein)
Chr5_20753563	5	20753563	1.758415e-02	112924409	AT5G51050	NA	Mitochondrial substrate carrier family protein (EC Mitochondrial substrate carrier family protein)
Chr5_20756234	5	20756234	1.758415e-02	112927080	AT5G51050	NA	Mitochondrial substrate carrier family protein (EC Mitochondrial substrate carrier family protein)
Chr4_427783	4	427783	2.085717e-02	74013573	AT4G00990	NA	Transcription factor jumonji (jmjC) domain-containing protein (EC Transcription factor jumonji (jmjC) domain-containing protein)
Chr5_18865261	5	18865261	4.352040e-03	111036107	AT5G46510	NA	Disease resistance protein (TIR-NBS-LRR class) family (EC Disease resistance protein (TIR-NBS-LRR class) family)
Chr4_456804	4	456804	2.101766e-02	74042594	AT4G01050	NA	thylakoid rhodanese-like (EC thylakoid rhodanese-like)
Chr1_4901255	1	4901255	2.684129e-02	4901255	NA	NA	NA
Chr4_7286495	4	7286495	1.982518e-02	80872285	AT4G12230	NA	alpha/beta-Hydrolases superfamily protein (EC alpha/beta-Hydrolases superfamily protein)
Chr2_15235548	2	15235548	2.380346e-02	45663219	AT2G36330	NA	Uncharacterised protein family (UPF0497) (EC Uncharacterised protein family (UPF0497))
Chr1_13644168	1	13644168	2.753528e-02	13644168	NA	NA	NA
Chr4_17325103	4	17325103	3.640207e-02	90910893	AT4G36750	NA	Quinone reductase family protein (EC Quinone reductase family protein)
Chr4_14742111	4	14742111	1.421920e-02	88327901	AT4G30140	NA	GDSL-like Lipase/Acylhydrolase superfamily protein (EC GDSL-like Lipase/Acylhydrolase superfamily protein)
Chr4_14751581	4	14751581	1.421920e-02	88337371	NA	NA	NA
Chr2_1774212	2	1774212	1.633759e-02	32201883	NA	NA	NA
Chr5_17382869	5	17382869	2.376048e-02	109553715	NA	NA	NA
Chr4_1392476	4	1392476	2.202996e-02	74978266	AT4G03130	NA	BRCT domain-containing DNA repair protein (EC BRCT domain-containing DNA repair protein)
Chr3_9293226	3	9293226	2.301740e-02	59419186	AT3G25580	NA	Thioredoxin superfamily protein (EC Thioredoxin superfamily protein)
Chr5_10488855	5	10488855	2.003475e-02	102659701	NA	NA	NA
Chr4_6718462	4	6718462	2.655492e-02	80304252	AT4G10960	NA	UDP-D-glucose/UDP-D-galactose 4-epimerase 5 (EC UDP-D-glucose/UDP-D-galactose 4-epimerase 5)
Chr5_3842424	5	3842424	2.555369e-02	96013270	AT5G11920	NA	6-&1-fructan exohydrolase (EC 6-&1-fructan exohydrolase)
Chr5_3852764	5	3852764	2.223467e-02	96023610	AT5G11940	NA	Subtilase family protein (EC Subtilase family protein)
Chr3_23164399	3	23164399	1.630336e-02	73290359	AT3G62630	NA	Protein of unknown function (DUF1645) (EC Protein of unknown function (DUF1645))
Chr5_25118110	5	25118110	1.425864e-02	117288956	AT5G62575	NA	NA
Chr5_2198360	5	2198360	2.092567e-02	94369206	AT5G07070	NA	CBL-interacting protein kinase 2 (EC CBL-interacting protein kinase 2)
Chr4_934049	4	934049	1.886341e-02	74519839	NA	NA	NA
Chr3_13109778	3	13109778	2.219798e-02	63235738	NA	NA	NA
Chr5_16288089	5	16288089	1.957399e-02	108458935	AT5G40660	NA	ATP12 protein-related (EC ATP12 protein-related)
Chr4_4743569	4	4743569	1.468166e-02	78329359	NA	NA	NA
Chr3_18581425	3	18581425	2.349903e-02	68707385	AT3G50100	NA	small RNA degrading nuclease 1 (EC small RNA degrading nuclease 1)
Chr3_14166740	3	14166740	1.509029e-02	64292700	NA	NA	NA
Chr5_13364523	5	13364523	2.310043e-02	105535369	AT5G35110	NA	NA
Chr4_8891506	4	8891506	1.963869e-02	82477296	AT4G15563	NA	NA
Chr5_6436145	5	6436145	3.373543e-02	98606991	NA	NA	NA
Chr2_251629	2	251629	1.494772e-02	30679300	AT2G01560	NA	Plant protein 1589 of unknown function (EC Plant protein 1589 of unknown function)
Chr1_628954	1	628954	2.508712e-02	628954	AT1G02840	NA	RNA-binding (RRM/RBD/RNP motifs) family protein (EC RNA-binding (RRM/RBD/RNP motifs) family protein)
Chr3_15646378	3	15646378	1.786333e-02	65772338	AT3G43740	NA	Leucine-rich repeat (LRR) family protein (EC Leucine-rich repeat (LRR) family protein)
Chr4_10957681	4	10957681	1.644935e-02	84543471	AT4G20300	NA	Protein of unknown function (DUF1639) (EC Protein of unknown function (DUF1639))
Chr1_22101431	1	22101431	1.280106e-02	22101431	NA	NA	NA
Chr3_11698487	3	11698487	2.050991e-02	61824447	NA	NA	NA
Chr4_9717781	4	9717781	1.505463e-02	83303571	AT4G17410	NA	DWNN domain, a CCHC-type zinc finger (EC DWNN domain, a CCHC-type zinc finger)
Chr5_428624	5	428624	1.624762e-02	92599470	AT5G02170	NA	Transmembrane amino acid transporter family protein (EC Transmembrane amino acid transporter family protein)
Chr5_9824403	5	9824403	1.611928e-02	101995249	AT5G27740	NA	ATPase family associated with various cellular activities (AAA) (EC ATPase family associated with various cellular activities (AAA))
Chr5_3598794	5	3598794	2.011128e-02	95769640	AT5G11270	NA	overexpressor of cationic peroxidase 3 (EC overexpressor of cationic peroxidase 3)
Chr1_26467874	1	26467874	3.101089e-02	26467874	AT1G70280	NA	NHL domain-containing protein (EC NHL domain-containing protein)
Chr2_19621077	2	19621077	2.372804e-02	50048748	NA	NA	NA
Chr2_19621862	2	19621862	2.372804e-02	50049533	AT2G47940	NA	DEGP protease 2 (EC DEGP protease 2)
Chr2_19660651	2	19660651	2.372804e-02	50088322	NA	NA	NA
Chr2_19660979	2	19660979	2.372804e-02	50088650	NA	NA	NA
Chr5_15063645	5	15063645	2.170753e-02	107234491	AT5G37830	NA	oxoprolinase 1 (EC oxoprolinase 1)
Chr2_19142802	2	19142802	1.791459e-02	49570473	AT2G46620	NA	P-loop containing nucleoside triphosphate hydrolases superfamily protein (EC P-loop containing nucleoside triphosphate hydrolases superfamily protein)
Chr5_18502539	5	18502539	2.485184e-02	110673385	AT5G45610	NA	protein dimerizations (EC protein dimerizations)
Chr5_21449173	5	21449173	2.233532e-02	113620019	AT5G52890	NA	AT hook motif-containing protein (EC AT hook motif-containing protein)
Chr2_12950458	2	12950458	3.259003e-02	43378129	AT2G30380	NA	Plant protein of unknown function (DUF641) (EC Plant protein of unknown function (DUF641))
Chr1_21377061	1	21377061	1.780100e-02	21377061	AT1G57720	NA	Translation elongation factor EF1B, gamma chain (EC Translation elongation factor EF1B, gamma chain)
Chr2_11136620	2	11136620	2.350243e-02	41564291	AT2G26140	NA	FTSH protease 4 (EC FTSH protease 4)
Chr4_9507926	4	9507926	1.977565e-02	83093716	AT4G16890	NA	disease resistance protein (TIR-NBS-LRR class), putative (EC disease resistance protein (TIR-NBS-LRR class), putative)
Chr2_4968676	2	4968676	4.160058e-03	35396347	NA	NA	NA
Chr2_11030932	2	11030932	2.186735e-02	41458603	AT2G25850	NA	poly(A) polymerase 2 (EC poly(A) polymerase 2)
Chr2_12162445	2	12162445	1.755238e-02	42590116	AT2G28440	NA	proline-rich family protein (EC proline-rich family protein)
Chr2_17497716	2	17497716	2.319234e-02	47925387	AT2G41910	NA	Protein kinase superfamily protein (EC Protein kinase superfamily protein)
Chr5_16811139	5	16811139	5.024908e-03	108981985	AT5G42020	NA	Heat shock protein 70 (Hsp 70) family protein (EC Heat shock protein 70 (Hsp 70) family protein)
Chr4_13946236	4	13946236	1.932805e-02	87532026	AT4G28060	NA	Cytochrome c oxidase, subunit Vib family protein (EC Cytochrome c oxidase, subunit Vib family protein)
Chr4_13946408	4	13946408	1.932805e-02	87532198	AT4G28060	NA	Cytochrome c oxidase, subunit Vib family protein (EC Cytochrome c oxidase, subunit Vib family protein)
Chr4_13954151	4	13954151	1.932805e-02	87539941	NA	NA	NA
Chr5_16665782	5	16665782	2.567011e-02	108836628	NA	NA	NA
Chr4_17470645	4	17470645	1.911907e-02	91056435	NA	NA	NA
Chr3_23032861	3	23032861	2.119312e-02	73158821	AT3G62220	NA	Protein kinase superfamily protein (EC Protein kinase superfamily protein)
Chr5_17460135	5	17460135	1.759085e-02	109630981	AT5G43450	NA	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (EC 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein)
Chr3_8501221	3	8501221	2.646451e-02	58627181	AT3G23640	NA	heteroglycan glucosidase 1 (EC heteroglycan glucosidase 1)
Chr3_11617639	3	11617639	7.058649e-03	61743599	NA	NA	NA
Chr3_16055392	3	16055392	2.270123e-02	66181352	AT3G44400	NA	Disease resistance protein (TIR-NBS-LRR class) family (EC Disease resistance protein (TIR-NBS-LRR class) family)
Chr1_343125	1	343125	3.257683e-02	343125	AT1G01960	NA	SEC7-like guanine nucleotide exchange family protein (EC SEC7-like guanine nucleotide exchange family protein)
Chr5_18666177	5	18666177	1.861389e-02	110837023	AT5G46020	NA	NA
Chr5_2217306	5	2217306	2.508489e-02	94388152	AT5G07150	NA	Leucine-rich repeat protein kinase family protein (EC Leucine-rich repeat protein kinase family protein)
Chr5_19248831	5	19248831	2.272597e-02	111419677	AT5G47450	NA	tonoplast intrinsic protein 2
Chr3_3586467	3	3586467	2.163799e-02	53712427	AT3G11410	NA	protein phosphatase 2CA (EC protein phosphatase 2CA)
Chr1_20235433	1	20235433	9.151632e-03	20235433	AT1G54200	NA	NA
Chr3_18010748	3	18010748	2.142657e-02	68136708	AT3G48590	NA	nuclear factor Y, subunit C1 (EC nuclear factor Y, subunit C1)
Chr4_1237936	4	1237936	2.433184e-02	74823726	NA	NA	NA
Chr4_14791745	4	14791745	2.506083e-02	88377535	AT4G30200	NA	vernalization5/VIN3-like (EC vernalization5/VIN3-like)
Chr1_28231107	1	28231107	2.109107e-02	28231107	NA	NA	NA
Chr4_8818902	4	8818902	1.326249e-02	82404692	AT4G15415	NA	Protein phosphatase 2A regulatory B subunit family protein (EC Protein phosphatase 2A regulatory B subunit family protein)
Chr4_8819362	4	8819362	1.326249e-02	82405152	AT4G15415	NA	Protein phosphatase 2A regulatory B subunit family protein (EC Protein phosphatase 2A regulatory B subunit family protein)
Chr1_6315849	1	6315849	2.247455e-02	6315849	AT1G18340	NA	basal transcription factor complex subunit-related (EC basal transcription factor complex subunit-related)
Chr5_3603432	5	3603432	2.538189e-02	95774278	NA	NA	NA
Chr4_4279168	4	4279168	2.041612e-02	77864958	NA	NA	NA
Chr1_11322078	1	11322078	4.311955e-03	11322078	NA	NA	NA
Chr3_13058014	3	13058014	1.483327e-02	63183974	NA	NA	NA
Chr5_18065693	5	18065693	2.958664e-02	110236539	AT5G44770	NA	Cysteine/Histidine-rich C1 domain family protein (EC Cysteine/Histidine-rich C1 domain family protein)
Chr5_2252334	5	2252334	2.030959e-02	94423180	AT5G07210	NA	response regulator 21 (EC response regulator 21)
Chr3_3929229	3	3929229	2.265110e-02	54055189	AT3G12340	NA	FKBP-like peptidyl-prolyl cis-trans isomerase family protein (EC FKBP-like peptidyl-prolyl cis-trans isomerase family protein)
Chr2_1098287	2	1098287	1.987249e-02	31525958	AT2G03600	NA	ureide permease 3 (EC ureide permease 3)
Chr4_458585	4	458585	1.853718e-02	74044375	AT4G01050	NA	thylakoid rhodanese-like (EC thylakoid rhodanese-like)
Chr3_2704717	3	2704717	2.214976e-02	52830677	AT3G08870	NA	Concanavalin A-like lectin protein kinase family protein (EC Concanavalin A-like lectin protein kinase family protein)
Chr3_10180078	3	10180078	4.809851e-03	60306038	AT3G27490	NA	Cysteine/Histidine-rich C1 domain family protein (EC Cysteine/Histidine-rich C1 domain family protein)
Chr5_7499500	5	7499500	1.658163e-02	99670346	NA	NA	NA
Chr5_19568208	5	19568208	4.333577e-03	111739054	AT5G48280	NA	NA
Chr5_6717310	5	6717310	2.408342e-02	98888156	AT5G19860	NA	Protein of unknown function, DUF538 (EC Protein of unknown function, DUF538)
Chr2_760330	2	760330	1.965418e-02	31188001	AT2G02710	NA	PAS/LOV protein B (EC PAS/LOV protein B)
Chr2_12048344	2	12048344	1.596899e-02	42476015	NA	NA	NA
Chr5_5864370	5	5864370	2.725486e-02	98035216	AT5G17760	NA	P-loop containing nucleoside triphosphate hydrolases superfamily protein (EC P-loop containing nucleoside triphosphate hydrolases superfamily protein)
Chr2_7102458	2	7102458	2.651041e-02	37530129	NA	NA	NA
Chr2_12165030	2	12165030	1.721578e-02	42592701	NA	NA	NA
Chr5_16585243	5	16585243	1.741536e-02	108756089	AT5G41420	NA	NA
Chr4_9595715	4	9595715	1.660729e-02	83181505	AT4G17060	NA	FRIGIDA interacting protein 2 (EC FRIGIDA interacting protein 2)
Chr4_13179495	4	13179495	4.337998e-03	86765285	AT4G25960	NA	P-glycoprotein 2 (EC P-glycoprotein 2)
Chr5_13173133	5	13173133	1.626024e-02	105343979	NA	NA	NA
Chr4_7898479	4	7898479	2.376909e-02	81484269	NA	NA	NA
Chr3_12770236	3	12770236	5.035212e-02	62896196	AT3G31400	NA	NA
Chr3_21831055	3	21831055	2.032027e-02	71957015	AT3G59060	NA	phytochrome interacting factor 3-like 6 (EC phytochrome interacting factor 3-like 6)
Chr4_8022910	4	8022910	1.737816e-02	81608700	AT4G13860	NA	RNA-binding (RRM/RBD/RNP motifs) family protein (EC RNA-binding (RRM/RBD/RNP motifs) family protein)
Chr3_9899213	3	9899213	1.873571e-02	60025173	AT3G26850	NA	histone-lysine N-methyltransferases (EC histone-lysine N-methyltransferases)
Chr4_14554011	4	14554011	1.500071e-02	88139801	NA	NA	NA
Chr5_24767396	5	24767396	3.028760e-02	116938242	AT5G61600	NA	ethylene response factor 104 (EC ethylene response factor 104)
Chr3_16306649	3	16306649	1.975893e-02	66432609	AT3G44760	NA	NA
Chr3_9158821	3	9158821	1.930753e-02	59284781	NA	NA	NA
Chr4_11907438	4	11907438	1.664749e-02	85493228	AT4G22620	NA	SAUR-like auxin-responsive protein family (EC SAUR-like auxin-responsive protein family)
Chr3_10918909	3	10918909	1.350543e-02	61044869	NA	NA	NA
Chr5_13412384	5	13412384	4.264161e-03	105583230	NA	NA	NA
Chr3_19831003	3	19831003	2.450681e-02	69956963	AT3G53480	NA	pleiotropic drug resistance 9 (EC pleiotropic drug resistance 9)
Chr4_14185199	4	14185199	1.709112e-02	87770989	NA	NA	NA
Chr3_15883547	3	15883547	4.222173e-03	66009507	AT3G44130	NA	F-box and associated interaction domains-containing protein (EC F-box and associated interaction domains-containing protein)
Chr1_1482641	1	1482641	1.824717e-02	1482641	AT1G05140	NA	Peptidase M50 family protein (EC Peptidase M50 family protein)
Chr1_17633385	1	17633385	1.945808e-02	17633385	NA	NA	NA
Chr5_22876616	5	22876616	2.421559e-02	115047462	AT5G56500	NA	TCP-1/cpn60 chaperonin family protein (EC TCP-1/cpn60 chaperonin family protein)
Chr1_22575905	1	22575905	3.322795e-02	22575905	AT1G61215	NA	bromodomain 4 (EC bromodomain 4)
Chr4_10922348	4	10922348	1.836951e-02	84508138	AT4G20210	NA	Terpenoid cyclases/Protein prenyltransferases superfamily protein (EC Terpenoid cyclases/Protein prenyltransferases superfamily protein)
Chr2_2212532	2	2212532	1.901391e-02	32640203	NA	NA	NA
Chr5_932132	5	932132	2.860554e-02	93102978	AT5G03650	NA	starch branching enzyme 2.2 (EC starch branching enzyme 2.2)
Chr4_6148683	4	6148683	2.209757e-02	79734473	AT4G09750	NA	NAD(P)-binding Rossmann-fold superfamily protein (EC NAD(P)-binding Rossmann-fold superfamily protein)
Chr3_5708997	3	5708997	4.488474e-03	55834957	AT3G16780	NA	Ribosomal protein L19e family protein (EC Ribosomal protein L19e family protein)
Chr3_8753412	3	8753412	4.806210e-02	58879372	AT3G24200	NA	FAD/NAD(P)-binding oxidoreductase family protein (EC FAD/NAD(P)-binding oxidoreductase family protein)
Chr2_4439569	2	4439569	4.589463e-03	34867240	NA	NA	NA
Chr1_23330667	1	23330667	4.730930e-03	23330667	AT1G62975	NA	basic helix-loop-helix (bHLH) DNA-binding superfamily protein (EC basic helix-loop-helix (bHLH) DNA-binding superfamily protein)
Chr2_12552051	2	12552051	1.518037e-02	42979722	AT2G29190	NA	pumilio 2 (EC pumilio 2)
Chr4_3928337	4	3928337	2.262320e-02	77514127	NA	NA	NA
Chr2_18124739	2	18124739	6.385738e-03	48552410	AT2G43720	NA	Eukaryotic protein of unknown function (DUF842) (EC Eukaryotic protein of unknown function (DUF842))
Chr4_15142144	4	15142144	2.049402e-02	88727934	AT4G31140	NA	O-Glycosyl hydrolases family 17 protein (EC O-Glycosyl hydrolases family 17 protein)
Chr5_4397426	5	4397426	2.467656e-02	96568272	AT5G13640	NA	phospholipid:diacylglycerol acyltransferase (EC phospholipid:diacylglycerol acyltransferase)
Chr5_17237095	5	17237095	2.269642e-02	109407941	AT5G42965	NA	Polynucleotidyl transferase, ribonuclease H-like superfamily protein (EC Polynucleotidyl transferase, ribonuclease H-like superfamily protein)
Chr5_12969825	5	12969825	1.581087e-02	105140671	NA	NA	NA
Chr3_4288022	3	4288022	1.471119e-02	54413982	NA	NA	NA
Chr4_15941847	4	15941847	2.494258e-02	89527637	AT4G33040	NA	Thioredoxin superfamily protein (EC Thioredoxin superfamily protein)
Chr4_6902133	4	6902133	2.000466e-02	80487923	AT4G11340	NA	Disease resistance protein (TIR-NBS-LRR class) family (EC Disease resistance protein (TIR-NBS-LRR class) family)
Chr2_4774226	2	4774226	1.867715e-02	35201897	NA	NA	NA
Chr3_21420036	3	21420036	1.655701e-02	71545996	AT3G57830	NA	Leucine-rich repeat protein kinase family protein (EC Leucine-rich repeat protein kinase family protein)
Chr4_418235	4	418235	1.371686e-02	74004025	AT4G00970	NA	cysteine-rich RLK (RECEPTOR-like protein kinase) 41 (EC cysteine-rich RLK (RECEPTOR-like protein kinase) 41)
Chr2_19662552	2	19662552	2.445735e-02	50090223	AT2G48060	NA	NA
Chr2_11606139	2	11606139	1.951105e-02	42033810	AT2G27150	NA	abscisic aldehyde oxidase 3 (EC abscisic aldehyde oxidase 3)
Chr1_21155412	1	21155412	2.391371e-02	21155412	NA	NA	NA
Chr1_23252530	1	23252530	2.231483e-02	23252530	AT1G62780	NA	NA
Chr5_24441628	5	24441628	2.682844e-02	116612474	AT5G60760	NA	P-loop containing nucleoside triphosphate hydrolases superfamily protein (EC P-loop containing nucleoside triphosphate hydrolases superfamily protein)
Chr1_21733752	1	21733752	4.482804e-03	21733752	AT1G58520	NA	lipases
Chr5_2067554	5	2067554	2.296992e-02	94238400	NA	NA	NA
Chr1_16009551	1	16009551	4.243070e-03	16009551	NA	NA	NA
Chr3_14727034	3	14727034	2.411728e-02	64852994	AT3G42640	NA	H(+)-ATPase 8 (EC H(+)-ATPase 8)
Chr5_13719122	5	13719122	1.680703e-02	105889968	NA	NA	NA
Chr4_850385	4	850385	5.121972e-03	74436175	NA	NA	NA
Chr2_82809	2	82809	2.110999e-02	30510480	AT2G01100	NA	NA
Chr5_15432839	5	15432839	2.072821e-01	107603685	NA	NA	NA
Chr5_3681026	5	3681026	2.141443e-02	95851872	AT5G11510	NA	myb domain protein 3r-4 (EC myb domain protein 3r-4)
Chr1_23471755	1	23471755	2.094717e-02	23471755	AT1G63270	NA	non-intrinsic ABC protein 10 (EC non-intrinsic ABC protein 10)
Chr4_472001	4	472001	2.329678e-02	74057791	NA	NA	NA
Chr1_8653481	1	8653481	1.984290e-02	8653481	AT1G24400	NA	lysine histidine transporter 2 (EC lysine histidine transporter 2)
Chr1_24026607	1	24026607	2.127566e-02	24026607	AT1G64650	NA	Major facilitator superfamily protein (EC Major facilitator superfamily protein)
Chr1_1707527	1	1707527	1.638572e-02	1707527	AT1G05690	NA	BTB and TAZ domain protein 3 (EC BTB and TAZ domain protein 3)
Chr5_20884026	5	20884026	1.682384e-02	113054872	AT5G51410	NA	LUC7 N_terminus domain-containing protein (EC LUC7 N_terminus domain-containing protein)
Chr3_3256969	3	3256969	2.065549e-02	53382929	AT3G10460	NA	Plant self-incompatibility protein S1 family (EC Plant self-incompatibility protein S1 family)
Chr3_11835780	3	11835780	2.168623e-02	61961740	AT3G30200	NA	Plant transposase (Ptta/En/Spm family) (EC Plant transposase (Ptta/En/Spm family))
Chr1_27076934	1	27076934	2.493280e-02	27076934	AT1G71930	NA	vascular related NAC-domain protein 7 (EC vascular related NAC-domain protein 7)
Chr4_2728880	4	2728880	2.182922e-02	76314670	AT4G05360	NA	Zinc knuckle (CCHC-type) family protein (EC Zinc knuckle (CCHC-type) family protein)
Chr1_2904727	1	2904727	2.234410e-02	2904727	AT1G09020	NA	homolog of yeast sucrose nonfermenting 4 (EC homolog of yeast sucrose nonfermenting 4)
Chr1_21564271	1	21564271	3.551360e-02	21564271	AT1G58220	NA	Homeodomain-like superfamily protein (EC Homeodomain-like superfamily protein)
Chr2_1417185	2	1417185	1.842305e-02	31844856	NA	NA	NA
Chr4_1363686	4	1363686	2.506616e-02	74949476	NA	NA	NA
Chr5_14120138	5	14120138	4.960681e-03	106290984	NA	NA	NA
Chr1_16773644	1	16773644	1.725623e-02	16773644	NA	NA	NA
Chr5_8614327	5	8614327	5.003190e-03	100785173	AT5G24970	NA	Protein kinase superfamily protein (EC Protein kinase superfamily protein)
Chr1_9814330	1	9814330	2.336944e-02	9814330	NA	NA	NA
Chr3_11752938	3	11752938	2.460233e-02	61878898	NA	NA	NA
Chr4_13105049	4	13105049	1.741581e-02	86690839	AT4G25720	NA	glutaminyl cyclase (EC glutaminyl cyclase)
Chr1_8667924	1	8667924	1.743963e-02	8667924	AT1G24460	NA	NA
Chr3_8906888	3	8906888	2.265403e-02	59032848	NA	NA	NA
Chr4_9035613	4	9035613	2.709988e-02	82621403	AT4G15920	NA	Nodulin MtN3 family protein (EC Nodulin MtN3 family protein)
Chr3_23164201	3	23164201	2.579756e-02	73290161	AT3G62630	NA	Protein of unknown function (DUF1645) (EC Protein of unknown function (DUF1645))
Chr2_320528	2	320528	3.014494e-02	30748199	AT2G01720	NA	Ribophorin I (EC Ribophorin I)
Chr5_7375002	5	7375002	2.324354e-02	99545848	AT5G22280	NA	NA
Chr3_11792746	3	11792746	2.545905e-02	61918706	NA	NA	NA
Chr5_20768361	5	20768361	3.154459e-02	112939207	AT5G51070	NA	Clp ATPase (EC Clp ATPase)
Chr2_7653859	2	7653859	3.042847e-02	38081530	AT2G17590	NA	Cysteine/Histidine-rich C1 domain family protein (EC Cysteine/Histidine-rich C1 domain family protein)
